mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta_delta1,delta_delta2,delta_delta3,delta_delta4,delta_delta5,delta_delta6,delta_delta7,delta_delta8,delta_delta9,delta_delta10,delta_delta11,delta_delta12,delta_delta13,username
-532.957153,126.035461,-6.57872,32.667366,8.390395,2.182637,-7.536328,-2.305663,5.728128,1.875835,1.931617,2.930387,0.514097,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,0.001136,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,-0.000619,Tim31
-544.947998,108.442329,22.161352,36.496403,14.676521,4.327117,-5.882364,-7.242417,-5.322646,0.162695,-6.286161,-1.964103,-0.65228,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,0.000207,Tim31
-471.591217,112.200806,-3.372553,42.653938,2.315969,-1.751577,-11.966131,-1.513443,-3.114211,-4.37593,0.324739,-1.122597,1.162657,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,0.00552,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,-0.002938,Tim31
-548.936768,97.479416,19.285192,47.19944,14.905172,1.623268,-1.861756,-4.706555,-2.915114,-2.750412,-0.530894,-6.165321,-3.703234,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.003236,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,-0.001838,Tim31
-556.302917,99.068611,17.640669,48.27404,17.941164,2.497466,-7.688183,-7.455027,0.577725,-1.579425,-3.95678,-1.48212,-1.240525,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,0.006358,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,-0.001257,Tim31
-407.183807,114.080902,-5.688151,37.685497,2.43351,-4.203923,-14.404806,-6.767928,-3.350031,-2.443986,-2.513452,-4.801013,-0.373834,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.00567,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,Tim31
-517.362183,99.020752,13.67926,40.954762,10.08507,2.429835,0.086039,-7.617661,-4.2358,0.305935,-1.787422,-5.042559,-2.997326,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,-0.003554,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,0.000622,Tim31
-467.936035,108.052429,-4.096174,27.642668,0.453236,0.544228,-8.177976,-1.604357,1.806511,3.998896,1.607421,-0.774545,1.749739,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.002778,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,-0.001555,Tim31
-483.095612,101.592567,-3.546563,34.749325,5.495497,-1.558816,-10.39216,-1.412332,2.309203,-0.2414,1.859883,-0.06532,2.558674,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,0.005573,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,Tim31
-520.998291,97.363312,15.792446,42.334095,9.216849,0.033673,-1.439722,-7.209447,-5.250989,-2.599758,-1.512895,-6.56209,-1.434456,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,0.001186,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,-0.000049,Tim31
